timestamp,http_client_request_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-01-18 12:42:16,2106,403,13.29,14.44,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:17,2106,403,13.31,14.46,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:18,2106,403,13.33,14.48,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:19,2106,403,13.35,14.51,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:20,2106,403,13.37,14.54,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:21,2106,403,13.39,14.55,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:22,2106,403,13.41,14.61,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:23,2106,403,13.44,14.65,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:24,2106,403,13.46,14.67,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:25,2106,403,13.47,14.7,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:26,2106,403,13.51,14.72,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:27,2106,403,13.53,14.75,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:28,2106,403,13.54,14.78,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:29,2106,403,13.58,14.81,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:30,2106,403,13.6,14.83,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:31,2106,403,13.61,14.86,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:32,2106,403,13.63,14.88,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:33,2106,403,13.65,14.9,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:34,2106,403,13.67,14.92,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:35,2106,403,13.7,14.94,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:36,2106,403,13.72,14.96,299,0,1,9700,184821,355100,355184,67792
