timestamp,http_client_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_global_used_amf,phoenix_memory_packet_used_amf,phoenix_memory_session_used_amf,phoenix_memory_transaction_used_amf
2023-12-26 10:01:45,222,0.21,0.27999999999999997,43,0,0,9957,52821,46216,42809,7816
2023-12-26 10:01:46,227,0.22,0.27999999999999997,44,0,0,9956,53173,47291,43684,7984
2023-12-26 10:01:47,232,0.24,0.29,45,0,0,9955,53525,48366,44559,8152
2023-12-26 10:01:48,237,0.25,0.3,46,0,0,9954,53877,49441,45434,8320
2023-12-26 10:01:49,242,0.26,0.31,47,0,0,9953,54229,50516,46309,8488
2023-12-26 10:01:50,247,0.26,0.32,48,0,0,9952,54581,51591,47184,8656
2023-12-26 10:01:51,252,0.27,0.32,49,0,0,9951,54933,52666,48059,8824
2023-12-26 10:01:52,257,0.27999999999999997,0.32999999999999996,50,0,0,9950,55285,53741,48934,8992
2023-12-26 10:01:53,262,0.27999999999999997,0.33999999999999997,51,0,0,9949,55637,54816,49809,9160
2023-12-26 10:01:54,267,0.27999999999999997,0.33999999999999997,52,0,0,9948,55989,55891,50684,9328
2023-12-26 10:01:55,272,0.29,0.35,53,0,0,9947,56341,56966,51559,9496
2023-12-26 10:01:56,277,0.3,0.36,54,0,0,9946,56693,58041,52434,9664
2023-12-26 10:01:57,282,0.32,0.36,55,0,0,9945,57045,59116,53309,9832
2023-12-26 10:01:58,287,0.33,0.37,56,0,0,9944,57397,60191,54184,10000
2023-12-26 10:01:59,292,0.33,0.37,57,0,0,9943,57749,61266,55059,10168
2023-12-26 10:02:00,297,0.33999999999999997,0.38999999999999996,58,0,0,9942,58101,62341,55934,10336
2023-12-26 10:02:00,297,0.33999999999999997,0.38999999999999996,58,0,0,9942,58101,62341,55934,10336
2023-12-26 10:02:01,302,0.35,0.38999999999999996,59,0,0,9941,58453,63416,56809,10504
2023-12-26 10:02:02,307,0.37,0.39999999999999997,60,0,0,9940,58805,64491,57684,10672
2023-12-26 10:02:03,312,0.38,0.39999999999999997,61,0,0,9939,59157,65566,58559,10840
2023-12-26 10:02:04,317,0.39,0.41,62,0,0,9938,59509,66641,59434,11008
2023-12-26 10:02:05,322,0.39999999999999997,0.43,63,0,0,9937,59861,67716,60309,11176
2023-12-26 10:02:06,327,0.42,0.43,64,0,0,9936,60213,68791,61184,11344
2023-12-26 10:02:07,332,0.43,0.44,65,0,0,9935,60565,69866,62059,11512
2023-12-26 10:02:08,337,0.44,0.45999999999999996,66,0,0,9934,60917,70941,62934,11680
2023-12-26 10:02:09,342,0.44,0.47,67,0,0,9933,61269,72016,63809,11848
2023-12-26 10:02:10,347,0.44,0.49,68,0,0,9932,61621,73091,64684,12016
2023-12-26 10:02:11,352,0.44,0.5,69,0,0,9931,61973,74166,65559,12184
2023-12-26 10:02:12,357,0.48,0.5,70,0,0,9930,62325,75241,66434,12352
2023-12-26 10:02:13,362,0.48,0.51,71,0,0,9929,62677,76316,67309,12520
2023-12-26 10:02:14,367,0.49,0.52,72,0,0,9928,63029,77391,68184,12688
2023-12-26 10:02:15,372,0.5,0.53,73,0,0,9927,63381,78466,69059,12856
2023-12-26 10:02:16,377,0.5,0.5499999999999999,74,0,0,9926,63733,79541,69934,13024
2023-12-26 10:02:17,382,0.51,0.57,75,0,0,9925,64085,80616,70809,13192
2023-12-26 10:02:18,387,0.52,0.59,76,0,0,9924,64437,81691,71684,13360
2023-12-26 10:02:19,392,0.54,0.6,77,0,0,9923,64789,82766,72559,13528
2023-12-26 10:02:20,397,0.54,0.61,78,0,0,9922,65141,83841,73434,13696
2023-12-26 10:02:21,402,0.5599999999999999,0.62,79,0,0,9921,65493,84916,74309,13864
2023-12-26 10:02:22,407,0.5599999999999999,0.64,80,0,0,9920,65845,85991,75184,14032
2023-12-26 10:02:23,412,0.58,0.65,81,0,0,9919,66197,87066,76059,14200
2023-12-26 10:02:24,417,0.59,0.66,82,0,0,9918,66549,88141,76934,14368
2023-12-26 10:02:25,422,0.6,0.6699999999999999,83,0,0,9917,66901,89216,77809,14536
2023-12-26 10:02:26,427,0.61,0.69,84,0,0,9916,67253,90291,78684,14704
2023-12-26 10:02:27,432,0.62,0.71,85,0,0,9915,67605,91366,79559,14872
2023-12-26 10:02:28,437,0.63,0.71,86,0,0,9914,67957,92441,80434,15040
2023-12-26 10:02:29,442,0.63,0.72,87,0,0,9913,68309,93516,81309,15208
2023-12-26 10:02:30,447,0.64,0.73,88,0,0,9912,68661,94591,82184,15376
2023-12-26 10:02:31,452,0.66,0.73,89,0,0,9911,69013,95666,83059,15544
2023-12-26 10:02:32,457,0.67,0.74,90,0,0,9910,69365,96741,83934,15712
2023-12-26 10:02:33,462,0.69,0.75,91,0,0,9909,69717,97816,84809,15880
2023-12-26 10:02:34,467,0.7,0.75,92,0,0,9908,70069,98891,85684,16048
2023-12-26 10:02:35,472,0.71,0.75,93,0,0,9907,70421,99966,86559,16216
2023-12-26 10:02:36,477,0.72,0.77,94,0,0,9906,70773,101041,87434,16384
2023-12-26 10:02:37,482,0.73,0.77,95,0,0,9905,71125,102116,88309,16552
2023-12-26 10:02:38,487,0.74,0.78,96,0,0,9904,71477,103191,89184,16720
2023-12-26 10:02:39,492,0.74,0.79,97,0,0,9903,71829,104266,90059,16888
2023-12-26 10:02:40,497,0.74,0.8099999999999999,98,0,0,9902,72181,105341,90934,17056
2023-12-26 10:02:41,502,0.76,0.83,99,0,0,9901,72533,106416,91809,17224
2023-12-26 10:02:42,507,0.76,0.85,100,0,0,9900,72885,107492,92684,17392
2023-12-26 10:02:43,512,0.8,0.85,101,0,0,9899,73237,108568,93559,17560
2023-12-26 10:02:44,517,0.8099999999999999,0.87,102,0,0,9898,73589,109644,94434,17728
2023-12-26 10:02:45,522,0.83,0.88,103,0,0,9897,73941,110720,95309,17896
2023-12-26 10:02:46,527,0.84,0.89,104,0,0,9896,74293,111796,96184,18064
2023-12-26 10:02:47,532,0.87,0.9,105,0,0,9895,74645,112872,97059,18232
2023-12-26 10:02:48,537,0.89,0.91,106,0,0,9894,74997,113948,97934,18400
2023-12-26 10:02:49,542,0.91,0.9199999999999999,107,0,0,9893,75349,115024,98809,18568
2023-12-26 10:02:50,547,0.91,0.94,108,0,0,9892,75701,116100,99684,18736
2023-12-26 10:02:51,552,0.92,0.95,109,0,0,9891,76053,117176,100559,18904
2023-12-26 10:02:52,557,0.9299999999999999,0.96,110,0,0,9890,76405,118252,101434,19072
2023-12-26 10:02:53,562,0.94,0.98,111,0,0,9889,76757,119328,102309,19240
2023-12-26 10:02:54,567,0.96,0.98,112,0,0,9888,77109,120404,103184,19408
2023-12-26 10:02:55,572,0.98,1,113,0,0,9887,77461,121480,104059,19576
2023-12-26 10:02:56,577,1.01,1.01,114,0,0,9886,77813,122556,104934,19744
2023-12-26 10:02:57,582,1.02,1.03,115,0,0,9885,78165,123632,105809,19912
2023-12-26 10:02:58,587,1.03,1.04,116,0,0,9884,78517,124708,106684,20080
2023-12-26 10:02:59,592,1.04,1.04,117,0,0,9883,78869,125784,107559,20248
2023-12-26 10:03:00,597,1.05,1.05,118,0,0,9882,79221,126860,108434,20416
