timestamp,subscriber_count_Connected_x,subscriber_count_Connected_y,subscriber_count_Connected_x,subscriber_count_Connected_y,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_ausf,total_allocated_memory_globalP_ausf,total_allocated_memory_packetP_ausf,total_allocated_memory_sessionP_ausf,total_allocated_memory_transactionP_ausf,chunk_create_count_minus_destroy_count_cm_globalP_ausf,chunk_create_count_minus_destroy_count_cm_packetP_ausf,chunk_create_count_minus_destroy_count_cm_sessionP_ausf,chunk_create_count_minus_destroy_count_cm_transactionP_ausf
2024-07-12 08:03:23,669,0,1,9330,32,100,1,1,256.0,256.0,256.0,256.0,51,3,1,4
2024-07-12 08:03:24,674,0,1,9325,33,101,1,1,256.0,256.0,256.0,256.0,52,3,1,4
2024-07-12 08:03:25,679,0,1,9320,33,101,1,1,256.0,256.0,256.0,256.0,52,3,1,4
2024-07-12 08:03:26,684,0,1,9315,33,102,1,1,256.0,256.0,256.0,256.0,52,3,1,4
2024-07-12 08:03:27,689,0,1,9310,33,103,1,1,256.0,256.0,256.0,256.0,52,3,1,4
2024-07-12 08:03:28,694,0,1,9305,33,103,1,1,256.0,256.0,256.0,256.0,52,3,1,4
2024-07-12 08:03:29,699,0,1,9300,34,104,1,1,256.0,256.0,256.0,256.0,53,3,1,4
2024-07-12 08:03:30,704,0,1,9295,34,105,1,1,256.0,256.0,256.0,256.0,53,3,1,4
2024-07-12 08:03:31,709,0,1,9290,34,106,1,1,256.0,256.0,256.0,256.0,53,3,1,4
2024-07-12 08:03:32,714,0,1,9285,34,106,1,1,256.0,256.0,256.0,256.0,53,3,1,4
2024-07-12 08:03:33,719,0,1,9280,35,107,1,1,256.0,256.0,256.0,256.0,54,3,1,4
2024-07-12 08:03:34,724,0,1,9275,35,108,1,1,256.0,256.0,256.0,256.0,54,3,1,4
2024-07-12 08:03:35,729,0,1,9270,35,108,1,1,256.0,256.0,256.0,256.0,54,3,1,4
2024-07-12 08:03:36,734,0,1,9265,35,109,1,1,256.0,256.0,256.0,256.0,54,3,1,4
2024-07-12 08:03:37,739,0,1,9260,36,110,1,1,256.0,256.0,256.0,256.0,55,3,1,4
2024-07-12 08:03:38,744,0,1,9255,36,111,1,1,256.0,256.0,256.0,256.0,55,3,1,4
