timestamp,subscriber_count_Connected_x,subscriber_count_Connected_y,subscriber_count_Connected_x,subscriber_count_Connected_y,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_globalP_smf,total_allocated_memory_packetP_smf,total_allocated_memory_sessionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
2024-07-12 08:02:39,449,0,1,9550,29,1612,8,3,511.998046875,512.0,511.998046875,512.0,63,1351,12142,6
2024-07-12 08:02:40,454,0,1,9545,29,1630,8,3,511.998046875,512.0,511.998046875,512.0,63,1366,12277,5
2024-07-12 08:02:41,459,0,1,9540,30,1648,8,3,511.998046875,512.0,511.998046875,512.0,64,1381,12412,5
2024-07-12 08:02:42,464,0,1,9535,30,1666,8,3,511.998046875,512.0,511.998046875,512.0,64,1396,12547,5
2024-07-12 08:02:43,469,0,1,9530,30,1685,8,3,511.998046875,512.0,511.998046875,512.0,64,1411,12682,5
2024-07-12 08:02:44,474,0,1,9525,31,1702,8,3,511.998046875,512.0,511.998046875,512.0,65,1426,12817,6
2024-07-12 08:02:45,479,0,1,9520,31,1721,8,3,511.998046875,512.0,511.998046875,512.0,65,1441,12952,5
2024-07-12 08:02:46,484,0,1,9515,31,1739,8,3,511.998046875,512.0,511.998046875,512.0,65,1456,13087,6
2024-07-12 08:02:47,489,0,1,9510,32,1757,8,3,511.998046875,512.0,511.998046875,512.0,66,1471,13222,6
2024-07-12 08:02:48,494,0,1,9505,32,1775,8,3,511.998046875,512.0,511.998046875,512.0,66,1486,13357,6
2024-07-12 08:02:49,499,0,1,9500,32,1793,8,3,511.998046875,512.0,511.998046875,512.0,66,1501,13492,6
2024-07-12 08:02:50,504,0,1,9495,33,1814,8,3,511.998046875,512.0,511.998046875,512.0,67,1516,13627,6
2024-07-12 08:02:51,509,0,1,9490,33,1834,8,3,511.998046875,512.0,511.998046875,512.0,67,1531,13762,5
2024-07-12 08:02:52,514,0,1,9485,33,1851,8,3,511.998046875,512.0,511.998046875,512.0,67,1546,13897,6
2024-07-12 08:02:53,519,0,1,9480,33,1870,8,3,511.998046875,512.0,511.998046875,512.0,67,1561,14032,6
2024-07-12 08:02:54,524,0,1,9475,34,1888,8,3,511.998046875,512.0,511.998046875,512.0,68,1576,14167,5
2024-07-12 08:02:55,529,0,1,9470,34,1906,8,3,511.998046875,512.0,511.998046875,512.0,68,1591,14302,5
2024-07-12 08:02:56,534,0,1,9465,34,1924,8,3,511.998046875,512.0,511.998046875,512.0,68,1606,14437,5
2024-07-12 08:02:57,539,0,1,9460,35,1943,8,3,511.998046875,512.0,511.998046875,512.0,69,1621,14572,5
2024-07-12 08:02:58,544,0,1,9455,35,1960,8,3,511.998046875,512.0,511.998046875,512.0,69,1636,14707,5
2024-07-12 08:02:59,549,0,1,9450,35,1978,8,3,511.998046875,512.0,511.998046875,512.0,69,1651,14842,5
2024-07-12 08:03:00,554,0,1,9445,36,1997,8,3,511.998046875,512.0,511.998046875,512.0,70,1666,14977,5
2024-07-12 08:03:01,559,0,1,9440,36,2014,8,3,511.998046875,512.0,511.998046875,512.0,70,1681,15112,5
2024-07-12 08:03:02,564,0,1,9435,36,2033,8,3,511.998046875,512.0,511.998046875,512.0,70,1696,15247,5
2024-07-12 08:03:03,569,0,1,9430,37,2051,8,3,511.998046875,512.0,511.998046875,512.0,71,1711,15382,6
2024-07-12 08:03:04,574,0,1,9425,37,2069,8,3,511.998046875,512.0,511.998046875,512.0,71,1726,15517,6
2024-07-12 08:03:05,579,0,1,9420,37,2088,8,3,511.998046875,512.0,511.998046875,512.0,71,1741,15652,6
2024-07-12 08:03:06,584,0,1,9415,38,2105,8,3,511.998046875,512.0,511.998046875,512.0,72,1756,15787,5
2024-07-12 08:03:07,589,0,1,9410,38,2124,8,3,511.998046875,512.0,511.998046875,512.0,72,1771,15922,6
2024-07-12 08:03:08,594,0,1,9405,38,2142,8,3,511.998046875,512.0,511.998046875,512.0,72,1786,16057,6
2024-07-12 08:03:09,599,0,1,9400,39,2161,8,3,511.998046875,512.0,511.998046875,512.0,73,1801,16192,6
2024-07-12 08:03:10,604,0,1,9395,39,2178,8,3,511.998046875,512.0,511.998046875,512.0,73,1816,16327,6
2024-07-12 08:03:11,609,0,1,9390,39,2196,8,3,511.998046875,512.0,511.998046875,512.0,73,1831,16462,6
2024-07-12 08:03:12,614,0,1,9385,39,2215,8,3,511.998046875,512.0,511.998046875,512.0,73,1846,16597,6
2024-07-12 08:03:13,619,0,1,9380,40,2232,8,3,511.998046875,512.0,511.998046875,512.0,74,1861,16732,6
2024-07-12 08:03:14,624,0,1,9375,40,2251,8,3,511.998046875,512.0,511.998046875,512.0,74,1876,16867,6
2024-07-12 08:03:15,629,0,1,9370,40,2269,8,3,511.998046875,512.0,511.998046875,512.0,74,1891,17002,6
2024-07-12 08:03:16,634,0,1,9365,41,2287,8,3,511.998046875,512.0,511.998046875,512.0,75,1906,17137,6
2024-07-12 08:03:17,639,0,1,9360,41,2305,8,3,511.998046875,512.0,511.998046875,512.0,75,1921,17272,6
2024-07-12 08:03:18,644,0,1,9355,41,2323,8,3,511.998046875,512.0,511.998046875,512.0,75,1936,17407,6
2024-07-12 08:03:19,649,0,1,9350,42,2342,8,3,511.998046875,512.0,511.998046875,512.0,76,1951,17542,6
2024-07-12 08:03:20,654,0,1,9345,42,2359,8,3,511.998046875,512.0,511.998046875,512.0,76,1966,17677,6
2024-07-12 08:03:21,659,0,1,9340,42,2377,8,3,511.998046875,512.0,511.998046875,512.0,76,1981,17812,5
2024-07-12 08:03:22,664,0,1,9335,43,2395,8,3,511.998046875,512.0,511.998046875,512.0,77,1996,17947,6
2024-07-12 08:03:23,669,0,1,9330,43,2414,8,3,511.998046875,512.0,511.998046875,512.0,77,2011,18082,6
2024-07-12 08:03:24,674,0,1,9325,43,2432,8,3,511.998046875,512.0,511.998046875,512.0,77,2026,18217,6
2024-07-12 08:03:25,679,0,1,9320,44,2450,8,3,511.998046875,512.0,511.998046875,512.0,78,2041,18352,6
2024-07-12 08:03:26,684,0,1,9315,44,2469,8,3,511.998046875,512.0,511.998046875,512.0,78,2056,18487,6
2024-07-12 08:03:27,689,0,1,9310,44,2486,8,3,511.998046875,512.0,511.998046875,512.0,78,2071,18622,5
2024-07-12 08:03:28,694,0,1,9305,45,2504,8,3,511.998046875,512.0,511.998046875,512.0,79,2086,18757,6
2024-07-12 08:03:29,699,0,1,9300,45,2523,8,3,511.998046875,512.0,511.998046875,512.0,79,2101,18892,6
2024-07-12 08:03:30,704,0,1,9295,45,2541,8,3,511.998046875,512.0,511.998046875,512.0,79,2116,19027,6
2024-07-12 08:03:31,709,0,1,9290,45,2559,8,3,511.998046875,512.0,511.998046875,512.0,79,2131,19162,6
2024-07-12 08:03:32,714,0,1,9285,46,2577,8,3,511.998046875,512.0,511.998046875,512.0,80,2146,19297,6
2024-07-12 08:03:33,719,0,1,9280,46,2595,8,3,511.998046875,512.0,511.998046875,512.0,80,2161,19432,6
2024-07-12 08:03:34,724,0,1,9275,46,2613,8,3,511.998046875,512.0,511.998046875,512.0,80,2176,19567,6
2024-07-12 08:03:35,729,0,1,9270,47,2631,8,3,511.998046875,512.0,511.998046875,512.0,81,2191,19702,6
2024-07-12 08:03:36,734,0,1,9265,47,2650,8,3,511.998046875,512.0,511.998046875,512.0,81,2206,19837,6
2024-07-12 08:03:37,739,0,1,9260,47,2668,8,3,511.998046875,512.0,511.998046875,512.0,81,2221,19972,6
2024-07-12 08:03:38,744,0,1,9255,48,2686,8,3,511.998046875,512.0,511.998046875,512.0,82,2236,20107,5
2024-07-12 08:03:39,749,0,1,9250,48,2704,8,3,511.998046875,512.0,511.998046875,512.0,82,2251,20242,6
2024-07-12 08:03:40,754,0,1,9245,48,2722,8,3,511.998046875,512.0,511.998046875,512.0,82,2266,20377,6
2024-07-12 08:03:41,759,0,1,9240,49,2740,8,3,511.998046875,512.0,511.998046875,512.0,83,2281,20512,6
2024-07-12 08:03:42,764,0,1,9235,49,2758,8,3,511.998046875,512.0,511.998046875,512.0,83,2296,20647,6
2024-07-12 08:03:43,768,0,2,9230,49,2777,8,3,511.998046875,512.0,511.998046875,512.0,83,2311,20782,6
2024-07-12 08:03:44,773,0,2,9225,50,2795,8,3,511.998046875,512.0,511.998046875,512.0,84,2325,20916,6
2024-07-12 08:03:45,778,0,2,9220,50,2812,8,3,511.998046875,512.0,511.998046875,512.0,84,2340,21051,6
2024-07-12 08:03:46,783,0,2,9215,50,2831,8,3,511.998046875,512.0,511.998046875,512.0,84,2355,21186,6
2024-07-12 08:03:47,788,0,2,9210,51,2848,8,3,511.998046875,512.0,511.998046875,512.0,85,2370,21321,6
2024-07-12 08:03:48,793,0,2,9205,51,2866,8,3,511.998046875,512.0,511.998046875,512.0,85,2385,21456,6
2024-07-12 08:03:49,798,0,2,9200,51,2884,8,3,511.998046875,512.0,511.998046875,512.0,85,2400,21591,5
2024-07-12 08:03:50,803,0,2,9195,51,2902,8,3,511.998046875,512.0,511.998046875,512.0,85,2415,21726,6
2024-07-12 08:03:51,808,0,2,9190,52,2921,8,3,511.998046875,512.0,511.998046875,512.0,86,2430,21861,5
2024-07-12 08:03:52,812,0,3,9185,52,2938,8,3,511.998046875,512.0,511.998046875,512.0,86,2444,21995,6
2024-07-12 08:03:53,817,0,3,9180,52,2957,8,3,511.998046875,512.0,511.998046875,512.0,86,2459,22130,6
2024-07-12 08:03:54,822,0,3,9175,53,2975,8,3,511.998046875,512.0,511.998046875,512.0,87,2474,22265,6
2024-07-12 08:03:55,827,0,3,9170,53,2992,8,3,511.998046875,512.0,511.998046875,512.0,87,2489,22400,6
2024-07-12 08:03:56,832,0,3,9165,53,3011,8,3,511.998046875,512.0,511.998046875,512.0,87,2504,22535,6
2024-07-12 08:03:57,837,0,3,9160,54,3029,8,3,511.998046875,512.0,511.998046875,512.0,88,2519,22670,6
2024-07-12 08:03:58,842,0,3,9155,54,3047,8,3,511.998046875,512.0,511.998046875,512.0,88,2534,22805,6
2024-07-12 08:03:59,847,0,3,9150,54,3065,8,3,511.998046875,512.0,511.998046875,512.0,88,2549,22940,6
2024-07-12 08:04:00,852,0,3,9145,55,3083,8,3,511.998046875,512.0,511.998046875,512.0,89,2564,23075,6
2024-07-12 08:04:01,857,0,3,9140,55,3102,8,3,511.998046875,512.0,511.998046875,512.0,89,2579,23210,6
2024-07-12 08:04:02,862,0,3,9135,55,3119,8,3,511.998046875,512.0,511.998046875,512.0,89,2594,23345,6
2024-07-12 08:04:03,867,0,3,9130,56,3137,8,3,511.998046875,512.0,511.998046875,512.0,90,2609,23480,6
2024-07-12 08:04:04,872,0,3,9125,56,3156,8,3,511.998046875,512.0,511.998046875,512.0,90,2624,23615,6
2024-07-12 08:04:05,877,0,3,9120,56,3174,8,3,511.998046875,512.0,511.998046875,512.0,90,2639,23750,6
2024-07-12 08:04:06,882,0,3,9115,57,3192,8,3,511.998046875,512.0,511.998046875,512.0,91,2654,23885,5
2024-07-12 08:04:07,887,0,3,9110,57,3210,8,3,511.998046875,512.0,511.998046875,512.0,91,2669,24020,6
2024-07-12 08:04:08,892,0,3,9105,57,3229,8,3,511.998046875,512.0,511.998046875,512.0,91,2684,24155,6
2024-07-12 08:04:09,897,0,3,9100,57,3246,8,3,511.998046875,512.0,511.998046875,512.0,91,2699,24290,6
2024-07-12 08:04:10,902,0,3,9095,58,3264,8,3,511.998046875,512.0,511.998046875,512.0,92,2714,24425,6
2024-07-12 08:04:11,907,0,3,9090,58,3283,8,3,511.998046875,512.0,511.998046875,512.0,92,2729,24560,6
2024-07-12 08:04:12,912,0,3,9085,58,3301,8,3,511.998046875,512.0,511.998046875,512.0,92,2744,24695,6
2024-07-12 08:04:13,917,0,3,9080,59,3319,8,3,511.998046875,512.0,511.998046875,512.0,93,2759,24830,6
2024-07-12 08:04:14,922,0,3,9075,59,3337,8,3,511.998046875,512.0,511.998046875,512.0,93,2774,24965,6
2024-07-12 08:04:15,927,0,3,9070,59,3355,8,3,511.998046875,512.0,511.998046875,512.0,93,2789,25100,6
2024-07-12 08:04:16,932,0,3,9065,60,3373,8,3,511.998046875,512.0,511.998046875,512.0,94,2804,25235,6
2024-07-12 08:04:17,937,0,3,9060,60,3391,8,3,511.998046875,512.0,511.998046875,512.0,94,2819,25370,6
2024-07-12 08:04:18,942,0,3,9055,60,3410,8,3,511.998046875,512.0,511.998046875,512.0,94,2834,25505,6
2024-07-12 08:04:19,947,0,3,9050,61,3428,8,3,511.998046875,512.0,511.998046875,512.0,95,2849,25640,6
2024-07-12 08:04:20,952,0,3,9045,61,3446,8,3,511.998046875,512.0,511.998046875,512.0,95,2864,25775,6
2024-07-12 08:04:21,957,0,3,9040,61,3464,8,3,511.998046875,512.0,511.998046875,512.0,95,2879,25910,6
2024-07-12 08:04:22,962,0,3,9035,62,3482,8,3,511.998046875,512.0,511.998046875,512.0,96,2894,26045,6
2024-07-12 08:04:23,967,0,3,9030,62,3500,8,3,511.998046875,512.0,511.998046875,512.0,96,2909,26180,6
2024-07-12 08:04:24,972,0,3,9025,62,3518,8,3,511.998046875,512.0,511.998046875,512.0,96,2924,26315,6
2024-07-12 08:04:25,977,0,3,9020,63,3537,8,3,511.998046875,512.0,511.998046875,512.0,97,2939,26450,6
2024-07-12 08:04:26,982,0,3,9015,63,3555,8,3,511.998046875,512.0,511.998046875,512.0,97,2954,26585,6
2024-07-12 08:04:27,987,0,3,9010,63,3572,8,3,511.998046875,512.0,511.998046875,512.0,97,2969,26720,6
2024-07-12 08:04:28,992,0,3,9005,63,3591,8,3,511.998046875,512.0,511.998046875,512.0,97,2984,26855,6
2024-07-12 08:04:29,997,0,3,9000,64,3609,8,3,511.998046875,512.0,511.998046875,512.0,98,2999,26990,6
2024-07-12 08:04:30,1002,0,3,8995,64,3627,8,3,511.998046875,512.0,511.998046875,512.0,98,3014,27125,6
