,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
timestamp,,,,,,,,,,,,,
2024-07-24 09:29:25,56,8,511.998046875,39,205,512.0,179,8,511.998046875,1586,3,512.0,5
2024-07-24 09:29:26,57,8,511.998046875,39,209,512.0,182,8,511.998046875,1613,3,512.0,5
2024-07-24 09:29:27,58,8,511.998046875,39,212,512.0,185,8,511.998046875,1640,3,512.0,5
2024-07-24 09:29:28,59,8,511.998046875,39,216,512.0,188,8,511.998046875,1667,3,512.0,5
2024-07-24 09:29:29,60,8,511.998046875,39,219,512.0,191,8,511.998046875,1694,3,512.0,5
2024-07-24 09:29:30,61,8,511.998046875,39,223,512.0,194,8,511.998046875,1721,3,512.0,5
2024-07-24 09:29:31,62,8,511.998046875,39,226,512.0,197,8,511.998046875,1748,3,512.0,5
2024-07-24 09:29:32,63,8,511.998046875,39,230,512.0,200,8,511.998046875,1775,3,512.0,5
2024-07-24 09:29:33,64,8,511.998046875,39,233,512.0,203,8,511.998046875,1802,3,512.0,5
2024-07-24 09:29:34,65,8,511.998046875,39,237,512.0,206,8,511.998046875,1829,3,512.0,5
2024-07-24 09:29:35,66,8,511.998046875,39,240,512.0,209,8,511.998046875,1856,3,512.0,5
2024-07-24 09:29:36,67,8,511.998046875,39,244,512.0,212,8,511.998046875,1883,3,512.0,5
2024-07-24 09:29:37,68,8,511.998046875,39,247,512.0,215,8,511.998046875,1910,3,512.0,5
2024-07-24 09:29:38,69,8,511.998046875,39,250,512.0,218,8,511.998046875,1937,3,512.0,5
2024-07-24 09:29:39,70,8,511.998046875,39,254,512.0,221,8,511.998046875,1964,3,512.0,5
2024-07-24 09:29:40,71,8,511.998046875,39,257,512.0,224,8,511.998046875,1991,3,512.0,5
